year,type,public_body_name,program_name,activity_name,sub_program_name,project_name,text,treasury,retained,assistance,loan,total
2013,recurrent,Ministry of Culture and Tourism,Culture Development ,Developing Cultural Value,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Culture and Tourism Culture Development  Developing Cultural Value Human Resource Development and Management Dembi Dolo Airport Construction,11843800,0,,,11843800
2013,recurrent,Ministry of Culture and Tourism,Culture Development ,Promoting Handicraft production and Market Development,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Culture and Tourism Culture Development  Promoting Handicraft production and Market Development Human Resource Development and Management Dembi Dolo Airport Construction,7068600,0,,,7068600
2013,recurrent,Ministry of Culture and Tourism,Culture Development ,Cultural Industry,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Culture and Tourism Culture Development  Cultural Industry Human Resource Development and Management Dembi Dolo Airport Construction,6259000,0,,,6259000
2013,recurrent,Ministry of Culture and Tourism,Tourism Development,Standardizing Tourism Service Providers,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Culture and Tourism Tourism Development Standardizing Tourism Service Providers Human Resource Development and Management Dembi Dolo Airport Construction,8182100,0,,,8182100
2013,recurrent,Ministry of Culture and Tourism,Tourism Development,Strengthening Tourism Development,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Culture and Tourism Tourism Development Strengthening Tourism Development Human Resource Development and Management Dembi Dolo Airport Construction,6055500,0,,,6055500
2013,recurrent,Ministry of Culture and Tourism,Tourism Development,Interanal Tourism Devlopment,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Culture and Tourism Tourism Development Interanal Tourism Devlopment Human Resource Development and Management Dembi Dolo Airport Construction,6350500,0,,,6350500
2013,recurrent,Ministry of Culture and Tourism,Tourism Development,International Tourism Development,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Culture and Tourism Tourism Development International Tourism Development Human Resource Development and Management Dembi Dolo Airport Construction,6260500,0,,,6260500
2013,recurrent,Ministry of Culture and Tourism,Sport Policy and performance,Sport Policy,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Culture and Tourism Sport Policy and performance Sport Policy Human Resource Development and Management Dembi Dolo Airport Construction,3928000,0,,,3928000
2013,recurrent,Ministry of Culture and Tourism,Sport Policy and performance,Sport Monitoring and Support,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Culture and Tourism Sport Policy and performance Sport Monitoring and Support Human Resource Development and Management Dembi Dolo Airport Construction,3755000,0,,,3755000
2013,recurrent,National Archive and Liberary Agency,Management and Administration,Providing Support and Service,Human Resource Development and Management,Dembi Dolo Airport Construction,National Archive and Liberary Agency Management and Administration Providing Support and Service Human Resource Development and Management Dembi Dolo Airport Construction,34971600,0,,,34971600
2013,recurrent,National Archive and Liberary Agency,Organized Information System Service ,Delivering Archive and Library Service,Human Resource Development and Management,Dembi Dolo Airport Construction,National Archive and Liberary Agency Organized Information System Service  Delivering Archive and Library Service Human Resource Development and Management Dembi Dolo Airport Construction,11012900,0,,,11012900
2013,recurrent,National Archive and Liberary Agency,Organized Information System Service ,Scaling up Reading Culture,Human Resource Development and Management,Dembi Dolo Airport Construction,National Archive and Liberary Agency Organized Information System Service  Scaling up Reading Culture Human Resource Development and Management Dembi Dolo Airport Construction,7995400,0,,,7995400
2013,recurrent,National Archive and Liberary Agency,"Information Warehousing, Protection and Preservation",Increasing the Collection of Information Resources,Human Resource Development and Management,Dembi Dolo Airport Construction,"National Archive and Liberary Agency Information Warehousing, Protection and Preservation Increasing the Collection of Information Resources Human Resource Development and Management Dembi Dolo Airport Construction",11764900,0,,,11764900
2013,recurrent,National Archive and Liberary Agency,"Information Warehousing, Protection and Preservation",Implementing Modern Public Record Management System,Human Resource Development and Management,Dembi Dolo Airport Construction,"National Archive and Liberary Agency Information Warehousing, Protection and Preservation Implementing Modern Public Record Management System Human Resource Development and Management Dembi Dolo Airport Construction",3412000,0,,,3412000
2013,recurrent,National Archive and Liberary Agency,"Information Warehousing, Protection and Preservation",Protecting and Preserving Information Resources,Human Resource Development and Management,Dembi Dolo Airport Construction,"National Archive and Liberary Agency Information Warehousing, Protection and Preservation Protecting and Preserving Information Resources Human Resource Development and Management Dembi Dolo Airport Construction",876100,0,,,876100
2013,recurrent,National Archive and Liberary Agency,Research and Development ,Conducting Research and Development,Human Resource Development and Management,Dembi Dolo Airport Construction,National Archive and Liberary Agency Research and Development  Conducting Research and Development Human Resource Development and Management Dembi Dolo Airport Construction,2428800,0,,,2428800
2013,recurrent,National Archive and Liberary Agency,Research and Development ,Producing Trained Man Power,Human Resource Development and Management,Dembi Dolo Airport Construction,National Archive and Liberary Agency Research and Development  Producing Trained Man Power Human Resource Development and Management Dembi Dolo Airport Construction,3151300,0,,,3151300
2013,recurrent,Authority for Research and Conservation of Cultural Heritage,Management and Administration ,Providing Support and Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Authority for Research and Conservation of Cultural Heritage Management and Administration  Providing Support and Service Human Resource Development and Management Dembi Dolo Airport Construction,29545200,0,,,29545200
2013,recurrent,Authority for Research and Conservation of Cultural Heritage,"Heritage Registration, Research and Studies",Conducting Study and Research,Human Resource Development and Management,Dembi Dolo Airport Construction,"Authority for Research and Conservation of Cultural Heritage Heritage Registration, Research and Studies Conducting Study and Research Human Resource Development and Management Dembi Dolo Airport Construction",4807000,0,,,4807000
2013,recurrent,Authority for Research and Conservation of Cultural Heritage,"Heritage Registration, Research and Studies",Registering Heritage,Human Resource Development and Management,Dembi Dolo Airport Construction,"Authority for Research and Conservation of Cultural Heritage Heritage Registration, Research and Studies Registering Heritage Human Resource Development and Management Dembi Dolo Airport Construction",4066500,0,,,4066500
2013,recurrent,Authority for Research and Conservation of Cultural Heritage,Heritage Protection and Preservation,Protecting and Preserving Heritage ,Human Resource Development and Management,Dembi Dolo Airport Construction,Authority for Research and Conservation of Cultural Heritage Heritage Protection and Preservation Protecting and Preserving Heritage  Human Resource Development and Management Dembi Dolo Airport Construction,8235000,0,,,8235000
2013,recurrent,Authority for Research and Conservation of Cultural Heritage,Heritage Development ,Making Heritage Accessible  for Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Authority for Research and Conservation of Cultural Heritage Heritage Development  Making Heritage Accessible  for Service Human Resource Development and Management Dembi Dolo Airport Construction,4455900,0,,,4455900
2013,recurrent,Authority for Research and Conservation of Cultural Heritage,Heritage Development ,Providing Museum Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Authority for Research and Conservation of Cultural Heritage Heritage Development  Providing Museum Service Human Resource Development and Management Dembi Dolo Airport Construction,6945400,0,,,6945400
2013,recurrent,Authority for Research and Conservation of Cultural Heritage,Heritage Development , Administrating World Registred Heritage ,Human Resource Development and Management,Dembi Dolo Airport Construction,Authority for Research and Conservation of Cultural Heritage Heritage Development   Administrating World Registred Heritage  Human Resource Development and Management Dembi Dolo Airport Construction,8176900,0,,,8176900
2013,recurrent,Ethiopian Wildlife Conservation Authority,Management and Administration ,Providing Support and Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Wildlife Conservation Authority Management and Administration  Providing Support and Service Human Resource Development and Management Dembi Dolo Airport Construction,29544800,0,,,29544800
2013,recurrent,Ethiopian Wildlife Conservation Authority,Wildlife Development and Conservation,Pateroling In and Out of the Protected Areas to Control Illigal Action,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Wildlife Conservation Authority Wildlife Development and Conservation Pateroling In and Out of the Protected Areas to Control Illigal Action Human Resource Development and Management Dembi Dolo Airport Construction,68473700,0,,,68473700
2013,recurrent,Ethiopian Wildlife Conservation Authority,Wildlife Development and Conservation,Controlling Illegal Wildlife Products Trading and Trafficking,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Wildlife Conservation Authority Wildlife Development and Conservation Controlling Illegal Wildlife Products Trading and Trafficking Human Resource Development and Management Dembi Dolo Airport Construction,1163000,0,,,1163000
2013,recurrent,Ethiopian Wildlife Conservation Authority,Wildlife Development and Conservation,Carrying Out Rehabilitating Activites in Protected Area,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Wildlife Conservation Authority Wildlife Development and Conservation Carrying Out Rehabilitating Activites in Protected Area Human Resource Development and Management Dembi Dolo Airport Construction,1095000,0,,,1095000
2013,recurrent,Ethiopian Wildlife Conservation Authority,Wildlife Development and Conservation,CLIMATE CHANGE IMPACT CONTROL Activites in Protected Area,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Wildlife Conservation Authority Wildlife Development and Conservation CLIMATE CHANGE IMPACT CONTROL Activites in Protected Area Human Resource Development and Management Dembi Dolo Airport Construction,965000,0,,,965000
2013,recurrent,Ethiopian Wildlife Conservation Authority,Wildlife Utilization ,Promoting Wildlife Resources and Their Habitat,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Wildlife Conservation Authority Wildlife Utilization  Promoting Wildlife Resources and Their Habitat Human Resource Development and Management Dembi Dolo Airport Construction,1992300,0,,,1992300
2013,recurrent,Ethiopian Wildlife Conservation Authority,Wildlife Utilization ,Improve Tourist Facilities,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Wildlife Conservation Authority Wildlife Utilization  Improve Tourist Facilities Human Resource Development and Management Dembi Dolo Airport Construction,305000,0,,,305000
2013,recurrent,Ethiopian Wildlife Conservation Authority,Community Partnership and Conservation Education ,Benefiting Communities Residing Around Protected Areas,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Wildlife Conservation Authority Community Partnership and Conservation Education  Benefiting Communities Residing Around Protected Areas Human Resource Development and Management Dembi Dolo Airport Construction,1675900,0,,,1675900
2013,recurrent,Ethiopian Wildlife Conservation Authority,Community Partnership and Conservation Education ,"Creating Awareness on Wild Life Development, Conservation and Utiliazaion",Human Resource Development and Management,Dembi Dolo Airport Construction,"Ethiopian Wildlife Conservation Authority Community Partnership and Conservation Education  Creating Awareness on Wild Life Development, Conservation and Utiliazaion Human Resource Development and Management Dembi Dolo Airport Construction",869000,0,,,869000
2013,recurrent,Ethiopian Wildlife Conservation Authority,Research and Studies,Conducting Research and Studies,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Wildlife Conservation Authority Research and Studies Conducting Research and Studies Human Resource Development and Management Dembi Dolo Airport Construction,1973300,0,,,1973300
2013,recurrent,Catering and Tourism Training Institute,Managment and Administration,Providing Support and Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Catering and Tourism Training Institute Managment and Administration Providing Support and Service Human Resource Development and Management Dembi Dolo Airport Construction,18757110,0,,,18757110
2013,recurrent,Catering and Tourism Training Institute,Learning and Teaching,Providing Learning and Teaching Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Catering and Tourism Training Institute Learning and Teaching Providing Learning and Teaching Service Human Resource Development and Management Dembi Dolo Airport Construction,39639600,0,,,39639600
2013,recurrent,Catering and Tourism Training Institute,Research and Development ,"Study, Research and Consulting Service",Human Resource Development and Management,Dembi Dolo Airport Construction,"Catering and Tourism Training Institute Research and Development  Study, Research and Consulting Service Human Resource Development and Management Dembi Dolo Airport Construction",5255500,0,,,5255500
2013,recurrent,Ethiopia National Theater,Management and Administration  ,Providing Support and Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopia National Theater Management and Administration   Providing Support and Service Human Resource Development and Management Dembi Dolo Airport Construction,18818510,530000,,,19348510
2013,recurrent,Ethiopia National Theater,Traditional Performance Art and Other Art Works Development,Conducting Research on Traditional Performance Arts ,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopia National Theater Traditional Performance Art and Other Art Works Development Conducting Research on Traditional Performance Arts  Human Resource Development and Management Dembi Dolo Airport Construction,1977700,0,,,1977700
2013,recurrent,Ethiopia National Theater,Traditional Performance Art and Other Art Works Development,Performing Musical Arts,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopia National Theater Traditional Performance Art and Other Art Works Development Performing Musical Arts Human Resource Development and Management Dembi Dolo Airport Construction,7844870,1475000,,,9319870
2013,recurrent,Ethiopia National Theater,Traditional Performance Art and Other Art Works Development,Performing Theatrical Arts,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopia National Theater Traditional Performance Art and Other Art Works Development Performing Theatrical Arts Human Resource Development and Management Dembi Dolo Airport Construction,5395000,4145000,,,9540000
2013,recurrent,Ethiopia National Theater,Traditional Performance Art and Other Art Works Development,Performing Artistic Work,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopia National Theater Traditional Performance Art and Other Art Works Development Performing Artistic Work Human Resource Development and Management Dembi Dolo Airport Construction,5773200,685000,,,6458200
2013,recurrent,Ethiopian Youth Sports Academy,Management and Administration,Providing Support and Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Youth Sports Academy Management and Administration Providing Support and Service Human Resource Development and Management Dembi Dolo Airport Construction,34512000,0,,,34512000
2013,recurrent,Ethiopian Youth Sports Academy,Elite Sport Development,Providing Teaching and Learning Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Youth Sports Academy Elite Sport Development Providing Teaching and Learning Service Human Resource Development and Management Dembi Dolo Airport Construction,23530000,0,,,23530000
2013,recurrent,Ethiopian Youth Sports Academy,Elite Sport Development,Providing Capacity Building Training,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Youth Sports Academy Elite Sport Development Providing Capacity Building Training Human Resource Development and Management Dembi Dolo Airport Construction,1690000,0,,,1690000
2013,recurrent,Ethiopian Youth Sports Academy,Research and Development,Conducting Research and Development,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Youth Sports Academy Research and Development Conducting Research and Development Human Resource Development and Management Dembi Dolo Airport Construction,2850000,0,,,2850000
2013,recurrent,Athlete Tirunesh Dibaba Sport Training Center,Management and Administration,Support and Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Athlete Tirunesh Dibaba Sport Training Center Management and Administration Support and Service Human Resource Development and Management Dembi Dolo Airport Construction,22575000,0,,,22575000
2013,recurrent,Athlete Tirunesh Dibaba Sport Training Center,Education and Training,Providing Education and Training,Human Resource Development and Management,Dembi Dolo Airport Construction,Athlete Tirunesh Dibaba Sport Training Center Education and Training Providing Education and Training Human Resource Development and Management Dembi Dolo Airport Construction,23357000,0,,,23357000
2013,recurrent,Athlete Tirunesh Dibaba Sport Training Center,Research and Study,Conducting Research and Study,Human Resource Development and Management,Dembi Dolo Airport Construction,Athlete Tirunesh Dibaba Sport Training Center Research and Study Conducting Research and Study Human Resource Development and Management Dembi Dolo Airport Construction,2485500,0,,,2485500
2013,recurrent,Ethiopia National Anti-Doping Office,Management and Administration,Providing Support and Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopia National Anti-Doping Office Management and Administration Providing Support and Service Human Resource Development and Management Dembi Dolo Airport Construction,8132500,0,,,8132500
2013,recurrent,Ethiopia National Anti-Doping Office,Sport's Anti-Doping Prevention and Control,"Develop & Implement Education, Trainings, and Conducting Research ",Human Resource Development and Management,Dembi Dolo Airport Construction,"Ethiopia National Anti-Doping Office Sport's Anti-Doping Prevention and Control Develop & Implement Education, Trainings, and Conducting Research  Human Resource Development and Management Dembi Dolo Airport Construction",6216170,0,,,6216170
2013,recurrent,Ethiopia National Anti-Doping Office,Sport's Anti-Doping Prevention and Control,Carrying out Doping Test and Control,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopia National Anti-Doping Office Sport's Anti-Doping Prevention and Control Carrying out Doping Test and Control Human Resource Development and Management Dembi Dolo Airport Construction,6104700,0,,,6104700
2013,recurrent,Ministry of Health,Management and Administration,Providing Support and Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Management and Administration Providing Support and Service Human Resource Development and Management Dembi Dolo Airport Construction,180568960,0,,,180568960
2013,recurrent,Ministry of Health,Attain Universal Health Coverage (UHC) ,Preventing and Controlling Disease,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Attain Universal Health Coverage (UHC)  Preventing and Controlling Disease Human Resource Development and Management Dembi Dolo Airport Construction,5377000,0,,,5377000
2013,recurrent,Ministry of Health,Attain Universal Health Coverage (UHC) ,Providing Family Health Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Attain Universal Health Coverage (UHC)  Providing Family Health Service Human Resource Development and Management Dembi Dolo Airport Construction,5920000,0,,,5920000
2013,recurrent,Ministry of Health,Attain Universal Health Coverage (UHC) ,Improving Clinical Medical Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Attain Universal Health Coverage (UHC)  Improving Clinical Medical Service Human Resource Development and Management Dembi Dolo Airport Construction,2219980,0,,,2219980
2013,recurrent,Ministry of Health,Attain Universal Health Coverage (UHC) ,Improving Pharmaceuticals and Medical Devices Supply,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Attain Universal Health Coverage (UHC)  Improving Pharmaceuticals and Medical Devices Supply Human Resource Development and Management Dembi Dolo Airport Construction,5141300,0,,,5141300
2013,recurrent,Ministry of Health,Attain Universal Health Coverage (UHC) ,Strengthen Resource Mobilization,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Attain Universal Health Coverage (UHC)  Strengthen Resource Mobilization Human Resource Development and Management Dembi Dolo Airport Construction,2342340,0,,,2342340
2013,recurrent,Ministry of Health,Transformed Households,Conducting Hygine Inspection on Health Centers,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Transformed Households Conducting Hygine Inspection on Health Centers Human Resource Development and Management Dembi Dolo Airport Construction,13090000,0,,,13090000
2013,recurrent,Ministry of Health,Transformed Households,Strengthening Basic Health Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Transformed Households Strengthening Basic Health Service Human Resource Development and Management Dembi Dolo Airport Construction,6365100,0,,,6365100
2013,recurrent,Ministry of Health,Protection of the Society from Health Disaster and Problem ,Improving Medical Services,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Protection of the Society from Health Disaster and Problem  Improving Medical Services Human Resource Development and Management Dembi Dolo Airport Construction,3529400,0,,,3529400
2013,recurrent,Ministry of Health,Improve Health System Responsiveness,Strengthen Integration of the Health Sector,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Improve Health System Responsiveness Strengthen Integration of the Health Sector Human Resource Development and Management Dembi Dolo Airport Construction,6126160,0,,,6126160
2013,recurrent,Ministry of Health,Improve Health System Responsiveness,Improving Health Services Quality,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Improve Health System Responsiveness Improving Health Services Quality Human Resource Development and Management Dembi Dolo Airport Construction,2591370,0,,,2591370
2013,recurrent,Ministry of Health,Improve Health System Responsiveness,Improving Human Resource Development and Curriculum Development,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Improve Health System Responsiveness Improving Human Resource Development and Curriculum Development Human Resource Development and Management Dembi Dolo Airport Construction,455294540,0,,,455294540
2013,recurrent,Ministry of Health,Improve Health System Responsiveness,Provide Health Professional License and Certification,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Improve Health System Responsiveness Provide Health Professional License and Certification Human Resource Development and Management Dembi Dolo Airport Construction,4302000,0,,,4302000
2013,recurrent,Ministry of Health,Improve Health Infrastructure,Enhance Health System for Special Support Regions,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Improve Health Infrastructure Enhance Health System for Special Support Regions Human Resource Development and Management Dembi Dolo Airport Construction,36613160,0,,,36613160
2013,recurrent,Ministry of Health,Improve Health Infrastructure,Armauer Hanson Recearch Instiute (AHRI),Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Improve Health Infrastructure Armauer Hanson Recearch Instiute (AHRI) Human Resource Development and Management Dembi Dolo Airport Construction,50186380,0,,,50186380
2013,recurrent,Ministry of Health,Improve Health Infrastructure,Gefersa Mental Health Rehabiltative Hospital,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Improve Health Infrastructure Gefersa Mental Health Rehabiltative Hospital Human Resource Development and Management Dembi Dolo Airport Construction,34189000,0,,,34189000
2013,recurrent,Ministry of Health,Improve Health Infrastructure,Improve Heath Infrastructure,Human Resource Development and Management,Dembi Dolo Airport Construction,Ministry of Health Improve Health Infrastructure Improve Heath Infrastructure Human Resource Development and Management Dembi Dolo Airport Construction,2158000,0,,,2158000
2013,recurrent,Ethiopian Public Health  Institute,Management and Administration,Providing Support and Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Public Health  Institute Management and Administration Providing Support and Service Human Resource Development and Management Dembi Dolo Airport Construction,38992059,0,,,38992059
2013,recurrent,Ethiopian Public Health  Institute,Research and Technology Transfer,Formulted and Producing Products and product packages,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Public Health  Institute Research and Technology Transfer Formulted and Producing Products and product packages Human Resource Development and Management Dembi Dolo Airport Construction,25003356,5e+05,,,25503356
2013,recurrent,Ethiopian Public Health  Institute,Research and Technology Transfer,Conducting  Study and Research,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Public Health  Institute Research and Technology Transfer Conducting  Study and Research Human Resource Development and Management Dembi Dolo Airport Construction,52453595,4243000,,,56696595
2013,recurrent,Ethiopian Public Health  Institute,National Laboratory Capacity Building ,Implementing Laboratory Quality Manangement System,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Public Health  Institute National Laboratory Capacity Building  Implementing Laboratory Quality Manangement System Human Resource Development and Management Dembi Dolo Airport Construction,6098421,0,,,6098421
2013,recurrent,Ethiopian Public Health  Institute,National Laboratory Capacity Building ,Providing Referral and Backup Dignostic Service ,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Public Health  Institute National Laboratory Capacity Building  Providing Referral and Backup Dignostic Service  Human Resource Development and Management Dembi Dolo Airport Construction,4933000,5319614,,,10252614
2013,recurrent,Ethiopian Public Health  Institute,Public Health Risk and Emergency Management ,Puplic Health Emergency Preparedness Surveillance and Responses ,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Public Health  Institute Public Health Risk and Emergency Management  Puplic Health Emergency Preparedness Surveillance and Responses  Human Resource Development and Management Dembi Dolo Airport Construction,52691834,5100000,,,57791834
2013,recurrent,Ethiopian Public Health  Institute,Public Health Risk and Emergency Management ,Providing Public Health Capacity Bulding,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Public Health  Institute Public Health Risk and Emergency Management  Providing Public Health Capacity Bulding Human Resource Development and Management Dembi Dolo Airport Construction,7377924,5300000,,,12677924
2013,recurrent,"Ethiopian Food, Drug and Health Care Administration And Control Authority",Management and Administration,Providing Support and Service,Human Resource Development and Management,Dembi Dolo Airport Construction,"Ethiopian Food, Drug and Health Care Administration And Control Authority Management and Administration Providing Support and Service Human Resource Development and Management Dembi Dolo Airport Construction",34973860,19004000,,,53977860
2013,recurrent,"Ethiopian Food, Drug and Health Care Administration And Control Authority",Inspection and Licensing ,Providing Trading Authorization,Human Resource Development and Management,Dembi Dolo Airport Construction,"Ethiopian Food, Drug and Health Care Administration And Control Authority Inspection and Licensing  Providing Trading Authorization Human Resource Development and Management Dembi Dolo Airport Construction",4477050,1996000,,,6473050
2013,recurrent,"Ethiopian Food, Drug and Health Care Administration And Control Authority",Inspection and Licensing ,Inspecting Food & Health Product  Facilities  ,Human Resource Development and Management,Dembi Dolo Airport Construction,"Ethiopian Food, Drug and Health Care Administration And Control Authority Inspection and Licensing  Inspecting Food & Health Product  Facilities   Human Resource Development and Management Dembi Dolo Airport Construction",30718150,27500000,,,58218150
2013,recurrent,"Ethiopian Food, Drug and Health Care Administration And Control Authority",Laboratory Quality Control,Conducting Quality Inspection,Human Resource Development and Management,Dembi Dolo Airport Construction,"Ethiopian Food, Drug and Health Care Administration And Control Authority Laboratory Quality Control Conducting Quality Inspection Human Resource Development and Management Dembi Dolo Airport Construction",18230340,13500000,,,31730340
2013,recurrent,"Ethiopian Food, Drug and Health Care Administration And Control Authority",Health Regulatory Capaciy Building,Creating Community Awareness,Human Resource Development and Management,Dembi Dolo Airport Construction,"Ethiopian Food, Drug and Health Care Administration And Control Authority Health Regulatory Capaciy Building Creating Community Awareness Human Resource Development and Management Dembi Dolo Airport Construction",3096800,1.4e+07,,,17096800
2013,recurrent,Ethiopian Health Insurance Agency,Management and Administration,Providing Support and Service,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Health Insurance Agency Management and Administration Providing Support and Service Human Resource Development and Management Dembi Dolo Airport Construction,84490000,0,,,84490000
2013,recurrent,Ethiopian Health Insurance Agency,Health Insurance Coverage Scale up,Implementing Community Based Health Insurance,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Health Insurance Agency Health Insurance Coverage Scale up Implementing Community Based Health Insurance Human Resource Development and Management Dembi Dolo Airport Construction,185652000,0,,,185652000
2013,recurrent,Ethiopian Health Insurance Agency,Health Insurance Coverage Scale up,Creating Awareness in the Area of Health Insurance ,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Health Insurance Agency Health Insurance Coverage Scale up Creating Awareness in the Area of Health Insurance  Human Resource Development and Management Dembi Dolo Airport Construction,16724000,0,,,16724000
2013,recurrent,Ethiopian Health Insurance Agency,Health Insurance Coverage Scale up,Implementing Social Health Insurance,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Health Insurance Agency Health Insurance Coverage Scale up Implementing Social Health Insurance Human Resource Development and Management Dembi Dolo Airport Construction,2160000,0,,,2160000
2013,recurrent,Ethiopian Health Insurance Agency,Health Service Provision and Quality Assurance,Monitoring Health Facility Readiness and Service Quality,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Health Insurance Agency Health Service Provision and Quality Assurance Monitoring Health Facility Readiness and Service Quality Human Resource Development and Management Dembi Dolo Airport Construction,33468000,0,,,33468000
2013,recurrent,Ethiopian Health Insurance Agency,Health Service Provision and Quality Assurance,Implementing Beneficiaries Compliance Handling System,Human Resource Development and Management,Dembi Dolo Airport Construction,Ethiopian Health Insurance Agency Health Service Provision and Quality Assurance Implementing Beneficiaries Compliance Handling System Human Resource Development and Management Dembi Dolo Airport Construction,3484000,0,,,3484000
2013,recurrent,National HIV/AIDS Prevention & Control Secretariat,Management and Administration,Providing Support and Services,Human Resource Development and Management,Dembi Dolo Airport Construction,National HIV/AIDS Prevention & Control Secretariat Management and Administration Providing Support and Services Human Resource Development and Management Dembi Dolo Airport Construction,32645000,0,,,32645000
2013,recurrent,National HIV/AIDS Prevention & Control Secretariat,HIV/AIDS Prevention and Control ,Providing Response Service for HIV ,Human Resource Development and Management,Dembi Dolo Airport Construction,National HIV/AIDS Prevention & Control Secretariat HIV/AIDS Prevention and Control  Providing Response Service for HIV  Human Resource Development and Management Dembi Dolo Airport Construction,2880000,0,,,2880000
2013,recurrent,National HIV/AIDS Prevention & Control Secretariat,HIV/AIDS Prevention and Control ,Mobilizing Internal and External Resource,Human Resource Development and Management,Dembi Dolo Airport Construction,National HIV/AIDS Prevention & Control Secretariat HIV/AIDS Prevention and Control  Mobilizing Internal and External Resource Human Resource Development and Management Dembi Dolo Airport Construction,430000,0,,,430000
2013,recurrent,St. Paul Hospital Millennium Medical College,St. Paul Millennium Hospital,Providing Support and Service,Human Resource Development and Management,Dembi Dolo Airport Construction,St. Paul Hospital Millennium Medical College St. Paul Millennium Hospital Providing Support and Service Human Resource Development and Management Dembi Dolo Airport Construction,104927800,8e+07,,,184927800
2013,recurrent,St. Paul Hospital Millennium Medical College,Medical Service,Providing Medical Service for Children,Human Resource Development and Management,Dembi Dolo Airport Construction,St. Paul Hospital Millennium Medical College Medical Service Providing Medical Service for Children Human Resource Development and Management Dembi Dolo Airport Construction,127250740,0,,,127250740
