program,value,vote,year,text
0611000 Ethics and Anti-Corruption,3578530000,1271 Ethics and Anti- Corruption Commission,2022,1271 Ethics and Anti- Corruption Commission 0611000 Ethics and Anti-Corruption
0804010 Security Intelligence,46127700000,1281 National Intelligence Service,2022,1281 National Intelligence Service 0804010 Security Intelligence
0804000 National Security Intelligence,46127700000,1281 National Intelligence Service,2022,1281 National Intelligence Service 0804000 National Security Intelligence
0612010 Prosecution of criminal offences,3326950000,1291 Office of the Director of Public Prosecutions,2022,1291 Office of the Director of Public Prosecutions 0612010 Prosecution of criminal offences
0612050 General Administration Planning and Support Services,,1291 Office of the Director of Public Prosecutions,2022,1291 Office of the Director of Public Prosecutions 0612050 General Administration Planning and Support Services
0612000 Public Prosecution Services,3326950000,1291 Office of the Director of Public Prosecutions,2022,1291 Office of the Director of Public Prosecutions 0612000 Public Prosecution Services
0614010 Registration and regulation of political parties,634359000,1311 Office of the Registrar of Political Parties,2022,1311 Office of the Registrar of Political Parties 0614010 Registration and regulation of political parties
0614020 Funding of political parties,1.475e+09,1311 Office of the Registrar of Political Parties,2022,1311 Office of the Registrar of Political Parties 0614020 Funding of political parties
0614030 Political parties liaison committee,17491000,1311 Office of the Registrar of Political Parties,2022,1311 Office of the Registrar of Political Parties 0614030 Political parties liaison committee
"0614000 Registration, Regulation and Funding of Political Parties",2126850000,1311 Office of the Registrar of Political Parties,2022,"1311 Office of the Registrar of Political Parties 0614000 Registration, Regulation and Funding of Political Parties"
0615010 Witness Protection,649070000,1321 Witness Protection Agency,2022,1321 Witness Protection Agency 0615010 Witness Protection
0615000 Witness Protection,649070000,1321 Witness Protection Agency,2022,1321 Witness Protection Agency 0615000 Witness Protection
"0616010 Complaints, Investigations and redress",464360000,2011 Kenya National Commission on Human Rights,2022,"2011 Kenya National Commission on Human Rights 0616010 Complaints, Investigations and redress"
0616000 Protection and Promotion of Human Rights,464360000,2011 Kenya National Commission on Human Rights,2022,2011 Kenya National Commission on Human Rights 0616000 Protection and Promotion of Human Rights
"0119010 General Administration, Planning and Support Services",1357565571,2021 National Land Commission,2022,"2021 National Land Commission 0119010 General Administration, Planning and Support Services"
0119020 Land Administration and Management,77884185,2021 National Land Commission,2022,2021 National Land Commission 0119020 Land Administration and Management
0119030 Public Land Information Management,95218230,2021 National Land Commission,2022,2021 National Land Commission 0119030 Public Land Information Management
0119040 Land Disputes and Conflict Resolution,27632014,2021 National Land Commission,2022,2021 National Land Commission 0119040 Land Disputes and Conflict Resolution
0116000 Land Administration and Management,1558300000,2021 National Land Commission,2022,2021 National Land Commission 0116000 Land Administration and Management
0617010 General Administration Planning and Support Services,5057067171,2031 Independent Electoral and Boundaries Commission,2022,2031 Independent Electoral and Boundaries Commission 0617010 General Administration Planning and Support Services
0617020 Voter Registration and Electoral Operations,14547999809,2031 Independent Electoral and Boundaries Commission,2022,2031 Independent Electoral and Boundaries Commission 0617020 Voter Registration and Electoral Operations
0617030 Voter Education and Partnerships,524731285,2031 Independent Electoral and Boundaries Commission,2022,2031 Independent Electoral and Boundaries Commission 0617030 Voter Education and Partnerships
0617040 Electoral Information and Communication Technology,1235541735,2031 Independent Electoral and Boundaries Commission,2022,2031 Independent Electoral and Boundaries Commission 0617040 Electoral Information and Communication Technology
0617000 Management of Electoral Processes,21365340000,2031 Independent Electoral and Boundaries Commission,2022,2031 Independent Electoral and Boundaries Commission 0617000 Management of Electoral Processes
0618010 Delimitation of Electoral Boundaries,321500000,2031 Independent Electoral and Boundaries Commission,2022,2031 Independent Electoral and Boundaries Commission 0618010 Delimitation of Electoral Boundaries
0618000 Delimitation of Electoral Boundaries,321500000,2031 Independent Electoral and Boundaries Commission,2022,2031 Independent Electoral and Boundaries Commission 0618000 Delimitation of Electoral Boundaries
0722010 Senate Affairs,8.785e+09,2041 Parliamentary Service Commission,2022,2041 Parliamentary Service Commission 0722010 Senate Affairs
0722000 Senate Affairs,8.785e+09,2041 Parliamentary Service Commission,2022,2041 Parliamentary Service Commission 0722000 Senate Affairs
0721010 Legislation and Representation,3.327e+10,2042 National Assembly,2022,2042 National Assembly 0721010 Legislation and Representation
"0721000 National Legislation, Representation and Oversight",3.327e+10,2042 National Assembly,2022,"2042 National Assembly 0721000 National Legislation, Representation and Oversight"
"0723010 General Administration, Planning and support services",7972811050,2043 Parliamentary Joint Services,2022,"2043 Parliamentary Joint Services 0723010 General Administration, Planning and support services"
"0723000 General Administration, Planning and Support Services",7972811050,2043 Parliamentary Joint Services,2022,"2043 Parliamentary Joint Services 0723000 General Administration, Planning and Support Services"
0746020 Legislative Training Research & Knowledge Management,192188950,2043 Parliamentary Joint Services,2022,2043 Parliamentary Joint Services 0746020 Legislative Training Research & Knowledge Management
0746000 Legislative Training Research & Knowledge Management,192188950,2043 Parliamentary Joint Services,2022,2043 Parliamentary Joint Services 0746000 Legislative Training Research & Knowledge Management
0619010 Administration and Judicial Services,4.11e+08,2051 Judicial Service Commission,2022,2051 Judicial Service Commission 0619010 Administration and Judicial Services
0619020 Judicial Training,1.76e+08,2051 Judicial Service Commission,2022,2051 Judicial Service Commission 0619020 Judicial Training
"0619000 General Administration, Planning and Support Services",5.87e+08,2051 Judicial Service Commission,2022,"2051 Judicial Service Commission 0619000 General Administration, Planning and Support Services"
0737010 General Administration and Support Services,434059900,2061 The Commission on Revenue Allocation,2022,2061 The Commission on Revenue Allocation 0737010 General Administration and Support Services
0737020 Equitable Sharing of Revenues,18090000,2061 The Commission on Revenue Allocation,2022,2061 The Commission on Revenue Allocation 0737020 Equitable Sharing of Revenues
0737030 Public Financial Management,13390000,2061 The Commission on Revenue Allocation,2022,2061 The Commission on Revenue Allocation 0737030 Public Financial Management
0737040 Transitional Equalization,26420100,2061 The Commission on Revenue Allocation,2022,2061 The Commission on Revenue Allocation 0737040 Transitional Equalization
0737000 Inter-Governmental Transfers and Financial Matters,491960000,2061 The Commission on Revenue Allocation,2022,2061 The Commission on Revenue Allocation 0737000 Inter-Governmental Transfers and Financial Matters
0725010 Administration,896474166,2071 Public Service Commission,2022,2071 Public Service Commission 0725010 Administration
0725020 Board Management Service,46673447,2071 Public Service Commission,2022,2071 Public Service Commission 0725020 Board Management Service
"0725000 General Administration, Planning and Support Services",943147613,2071 Public Service Commission,2022,"2071 Public Service Commission 0725000 General Administration, Planning and Support Services"
0726010 Establishment and Management and Consultancy Service,55599002,2071 Public Service Commission,2022,2071 Public Service Commission 0726010 Establishment and Management and Consultancy Service
0726020 Human Resource Management,194797165,2071 Public Service Commission,2022,2071 Public Service Commission 0726020 Human Resource Management
0726030 Human Resource Development,1195278427,2071 Public Service Commission,2022,2071 Public Service Commission 0726030 Human Resource Development
0726000 Human Resource management and Development,1445674594,2071 Public Service Commission,2022,2071 Public Service Commission 0726000 Human Resource management and Development
0727010 Compliance and quality assurance,100163397,2071 Public Service Commission,2022,2071 Public Service Commission 0727010 Compliance and quality assurance
"0727020 Ethics, Governance and National values",47554371,2071 Public Service Commission,2022,"2071 Public Service Commission 0727020 Ethics, Governance and National values"
0727000 Governance and National Values,147717768,2071 Public Service Commission,2022,2071 Public Service Commission 0727000 Governance and National Values
0744010 Performance and Productivity Management,45600025,2071 Public Service Commission,2022,2071 Public Service Commission 0744010 Performance and Productivity Management
0744000 Performance and Productivity Management,45600025,2071 Public Service Commission,2022,2071 Public Service Commission 0744000 Performance and Productivity Management
0728010 Remuneration and Benefits management,612500000,2081 Salaries and Remuneration Commission,2022,2081 Salaries and Remuneration Commission 0728010 Remuneration and Benefits management
0728000 Salaries and Remuneration Management,612500000,2081 Salaries and Remuneration Commission,2022,2081 Salaries and Remuneration Commission 0728000 Salaries and Remuneration Management
0509010 Teacher Management- Primary,180606092949,2091 Teachers Service Commission,2022,2091 Teachers Service Commission 0509010 Teacher Management- Primary
0509020 Teacher management - Secondary,106904575771,2091 Teachers Service Commission,2022,2091 Teachers Service Commission 0509020 Teacher management - Secondary
0509030 Teacher management - Tertiary,2462643060,2091 Teachers Service Commission,2022,2091 Teachers Service Commission 0509030 Teacher management - Tertiary
0509000 Teacher Resource Management,289973311780,2091 Teachers Service Commission,2022,2091 Teachers Service Commission 0509000 Teacher Resource Management
0510010 Quality assurance and standards,1737973,2091 Teachers Service Commission,2022,2091 Teachers Service Commission 0510010 Quality assurance and standards
0510020 Teacher professional development,8604307,2091 Teachers Service Commission,2022,2091 Teachers Service Commission 0510020 Teacher professional development
0510030 Teacher capacity development,1150646826,2091 Teachers Service Commission,2022,2091 Teachers Service Commission 0510030 Teacher capacity development
0510000 Governance and Standards,1160989106,2091 Teachers Service Commission,2022,2091 Teachers Service Commission 0510000 Governance and Standards
"0511010 Policy, Planning and Support Service",6761386398,2091 Teachers Service Commission,2022,"2091 Teachers Service Commission 0511010 Policy, Planning and Support Service"
0511020 Field Services,209306062,2091 Teachers Service Commission,2022,2091 Teachers Service Commission 0511020 Field Services
0511030 Automation of TSC Operations,269006654,2091 Teachers Service Commission,2022,2091 Teachers Service Commission 0511030 Automation of TSC Operations
"0511000 General Administration, Planning and Support Services",7239699114,2091 Teachers Service Commission,2022,"2091 Teachers Service Commission 0511000 General Administration, Planning and Support Services"
0620010 Human Resource Management,585922418,2101 National Police Service Commission,2022,2101 National Police Service Commission 0620010 Human Resource Management
0620030 Administration and Standards Setting,307861570,2101 National Police Service Commission,2022,2101 National Police Service Commission 0620030 Administration and Standards Setting
0620040 Counselling Management Services,135466012,2101 National Police Service Commission,2022,2101 National Police Service Commission 0620040 Counselling Management Services
0620000 National Police Service Human Resource Management,1029250000,2101 National Police Service Commission,2022,2101 National Police Service Commission 0620000 National Police Service Human Resource Management
0729010 CDF Audits,47465900,2111 Auditor General,2022,2111 Auditor General 0729010 CDF Audits
0729020 County Governments Audit,834954700,2111 Auditor General,2022,2111 Auditor General 0729020 County Governments Audit
0729030 Specialized Audits,502302900,2111 Auditor General,2022,2111 Auditor General 0729030 Specialized Audits
0729040 National Government Audit,5513436500,2111 Auditor General,2022,2111 Auditor General 0729040 National Government Audit
0729000 Audit Services,6898160000,2111 Auditor General,2022,2111 Auditor General 0729000 Audit Services
0730010 Authorization of withdrawal from public Funds,177404127,2121 Office of the Controller of Budget,2022,2121 Office of the Controller of Budget 0730010 Authorization of withdrawal from public Funds
0730020 Budget implementation and Monitoring,56734917,2121 Office of the Controller of Budget,2022,2121 Office of the Controller of Budget 0730020 Budget implementation and Monitoring
0730030 General Administration Planning and Support Services,422132244,2121 Office of the Controller of Budget,2022,2121 Office of the Controller of Budget 0730030 General Administration Planning and Support Services
0730040 Research & Development,46098712,2121 Office of the Controller of Budget,2022,2121 Office of the Controller of Budget 0730040 Research & Development
0730000 Control and Management of Public finances,702370000,2121 Office of the Controller of Budget,2022,2121 Office of the Controller of Budget 0730000 Control and Management of Public finances
0731020 General Administration and Support Services,517889843,2131 The Commission on Administrative Justice,2022,2131 The Commission on Administrative Justice 0731020 General Administration and Support Services
0731030 Administrative Justice Services,166094551,2131 The Commission on Administrative Justice,2022,2131 The Commission on Administrative Justice 0731030 Administrative Justice Services
0731040 Access to Information Services,40335606,2131 The Commission on Administrative Justice,2022,2131 The Commission on Administrative Justice 0731040 Access to Information Services
0731000 Promotion of Administrative Justice,724320000,2131 The Commission on Administrative Justice,2022,2131 The Commission on Administrative Justice 0731000 Promotion of Administrative Justice
0621010 Legal Compliance and Redress,16587141,2141 National Gender and Equality Commission,2022,2141 National Gender and Equality Commission 0621010 Legal Compliance and Redress
0621020 Mainstreaming and Coordination,23712663,2141 National Gender and Equality Commission,2022,2141 National Gender and Equality Commission 0621020 Mainstreaming and Coordination
"0621030 Public Education, Advocacy and Research",18562204,2141 National Gender and Equality Commission,2022,"2141 National Gender and Equality Commission 0621030 Public Education, Advocacy and Research"
0621040 General Administration Planning and Support Services,424438992,2141 National Gender and Equality Commission,2022,2141 National Gender and Equality Commission 0621040 General Administration Planning and Support Services
0621000 Promotion of Gender Equality and Freedom from Discrimination,483301000,2141 National Gender and Equality Commission,2022,2141 National Gender and Equality Commission 0621000 Promotion of Gender Equality and Freedom from Discrimination
0622010 Policing Oversight Services,1024600000,2151 Independent Policing Oversight Authority,2022,2151 Independent Policing Oversight Authority 0622010 Policing Oversight Services
0622000 Policing Oversight Services,1024600000,2151 Independent Policing Oversight Authority,2022,2151 Independent Policing Oversight Authority 0622000 Policing Oversight Services
0702010 Management of Cabinet Affairs,1360364386,1011 Executive Office of the President,2021,1011 Executive Office of the President 0702010 Management of Cabinet Affairs
0702030 Resource Surveys and Remote Sensing,186484372,1011 Executive Office of the President,2021,1011 Executive Office of the President 0702030 Resource Surveys and Remote Sensing
0702000 Cabinet Affairs,1546848758,1011 Executive Office of the President,2021,1011 Executive Office of the President 0702000 Cabinet Affairs
0703010 State Corporations Advisory Services,31807315,1011 Executive Office of the President,2021,1011 Executive Office of the President 0703010 State Corporations Advisory Services
0703030 Power of Mercy Advisory Services,41294492,1011 Executive Office of the President,2021,1011 Executive Office of the President 0703030 Power of Mercy Advisory Services
0703060 Counter-Terrorism Advisory Services,521109443,1011 Executive Office of the President,2021,1011 Executive Office of the President 0703060 Counter-Terrorism Advisory Services
0703070 Inspectorate of State Corporations,94455221,1011 Executive Office of the President,2021,1011 Executive Office of the President 0703070 Inspectorate of State Corporations
0703000 Government Advisory Services,688666471,1011 Executive Office of the President,2021,1011 Executive Office of the President 0703000 Government Advisory Services
0704010 Coordination of State House Functions,3687764895,1011 Executive Office of the President,2021,1011 Executive Office of the President 0704010 Coordination of State House Functions
0704020 Administration of Statutory benefits for the retired Presidents,294031030,1011 Executive Office of the President,2021,1011 Executive Office of the President 0704020 Administration of Statutory benefits for the retired Presidents
0704000 State House Affairs,3981795925,1011 Executive Office of the President,2021,1011 Executive Office of the President 0704000 State House Affairs
0734010 General Administration and Support Services,419789248,1011 Executive Office of the President,2021,1011 Executive Office of the President 0734010 General Administration and Support Services
0734020 Coordination and Supervision,998435284,1011 Executive Office of the President,2021,1011 Executive Office of the President 0734020 Coordination and Supervision
0734000 Deputy President Services,1418224532,1011 Executive Office of the President,2021,1011 Executive Office of the President 0734000 Deputy President Services
0745010 General Administration and Support,4163001977,1011 Executive Office of the President,2021,1011 Executive Office of the President 0745010 General Administration and Support
0745030 Metropolitan Health Services,10401798859,1011 Executive Office of the President,2021,1011 Executive Office of the President 0745030 Metropolitan Health Services
"0745040 Metropolitan Transport, Roads and Public Works",6124985624,1011 Executive Office of the President,2021,"1011 Executive Office of the President 0745040 Metropolitan Transport, Roads and Public Works"
"0745050 Metropolitan Lands, Housing, Planning and Development",1471420755,1011 Executive Office of the President,2021,"1011 Executive Office of the President 0745050 Metropolitan Lands, Housing, Planning and Development"
"0745060 Metropolitan Environment, Water, Waste and Ancillary Services",2939165074,1011 Executive Office of the President,2021,"1011 Executive Office of the President 0745060 Metropolitan Environment, Water, Waste and Ancillary Services"
"0745070 Metropolitan Energy, Reticulation and Public Lighting",1859055004,1011 Executive Office of the President,2021,"1011 Executive Office of the President 0745070 Metropolitan Energy, Reticulation and Public Lighting"
0745000 Nairobi Metropolitan Services,26959427293,1011 Executive Office of the President,2021,1011 Executive Office of the President 0745000 Nairobi Metropolitan Services
0601010 Kenya Police Services,53805436527,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0601010 Kenya Police Services
0601020 Administration Police Services,23572955347,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0601020 Administration Police Services
0601030 Criminal Investigation Services,8190010681,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0601030 Criminal Investigation Services
0601040 General-Paramilitary Service,15003543153,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0601040 General-Paramilitary Service
0601000 Policing Services,100571945708,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0601000 Policing Services
"0602010 Planning, Policy Coordination and Support Service",,1021 State Department for Interior and Citizen Services,2021,"1021 State Department for Interior and Citizen Services 0602010 Planning, Policy Coordination and Support Service"
0602020 Betting Control and lottery Policy services,,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0602020 Betting Control and lottery Policy services
0602030 Disaster Risk Reduction,,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0602030 Disaster Risk Reduction
0602040 National Campaign against Drug and Substance Abuse,,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0602040 National Campaign against Drug and Substance Abuse
"0602050 Peace Building, National Cohesion and Values",,1021 State Department for Interior and Citizen Services,2021,"1021 State Department for Interior and Citizen Services 0602050 Peace Building, National Cohesion and Values"
0602060 Special Initiatives,,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0602060 Special Initiatives
0602070 NGO Regulatory Services,,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0602070 NGO Regulatory Services
0602080 Government Chemist Services,,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0602080 Government Chemist Services
0602090 Crime Research,,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0602090 Crime Research
"0602000 Planning, Policy Coordination and Support Service",,1021 State Department for Interior and Citizen Services,2021,"1021 State Department for Interior and Citizen Services 0602000 Planning, Policy Coordination and Support Service"
0603010 Government Printing Services,744265604,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0603010 Government Printing Services
0603000 Government Printing Services,744265604,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0603000 Government Printing Services
0605020 Immigration Services,2730567437,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0605020 Immigration Services
0605030 Refugee Affairs,158674619,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0605030 Refugee Affairs
0605000 Migration & Citizen Services Management,2889242056,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0605000 Migration & Citizen Services Management
0625010 Road Safety,2725265215,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0625010 Road Safety
0625000 Road Safety,2725265215,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0625000 Road Safety
0626010 National Registration Bureau,3836627284,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0626010 National Registration Bureau
0626020 Civil Registration Services,875251062,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0626020 Civil Registration Services
0626030 Integrated Personal Registration Services,131340724,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0626030 Integrated Personal Registration Services
0626000 Population Management Services,4843219070,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0626000 Population Management Services
0629010 National Government Coordination Services,24745023758,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0629010 National Government Coordination Services
0629020 Betting Control & Lottery Policy Services,108796724,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0629020 Betting Control & Lottery Policy Services
0629030 Disaster Risk Reduction,35676213,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0629030 Disaster Risk Reduction
"0629040 Peace Building, National Cohesion and Values",486906030,1021 State Department for Interior and Citizen Services,2021,"1021 State Department for Interior and Citizen Services 0629040 Peace Building, National Cohesion and Values"
0629050 Government Chemist Services,376163743,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0629050 Government Chemist Services
0629000 General Administration and Support Services,25752566468,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0629000 General Administration and Support Services
0630010 National Campaign Against Drug and Substance Abuse,629150000,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0630010 National Campaign Against Drug and Substance Abuse
0630020 NGO Regulatory Services,254550000,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0630020 NGO Regulatory Services
0630030 Crime Research,178900000,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0630030 Crime Research
0630000 Policy Coordination Services,1062600000,1021 State Department for Interior and Citizen Services,2021,1021 State Department for Interior and Citizen Services 0630000 Policy Coordination Services
0604010 Offender Services,,1023 State Department for Correctional Services,2021,1023 State Department for Correctional Services 0604010 Offender Services
0604020 Capacity Development,,1023 State Department for Correctional Services,2021,1023 State Department for Correctional Services 0604020 Capacity Development
0604040 Probation and After Care Service,,1023 State Department for Correctional Services,2021,1023 State Department for Correctional Services 0604040 Probation and After Care Service
0604000 Correctional services,,1023 State Department for Correctional Services,2021,1023 State Department for Correctional Services 0604000 Correctional services
"0623010 Planning, Policy Coordination and Support Service",363352352,1023 State Department for Correctional Services,2021,"1023 State Department for Correctional Services 0623010 Planning, Policy Coordination and Support Service"
"0623000 General Administration, Planning and Support Services",363352352,1023 State Department for Correctional Services,2021,"1023 State Department for Correctional Services 0623000 General Administration, Planning and Support Services"
0627010 Offender Services,26515137112,1023 State Department for Correctional Services,2021,1023 State Department for Correctional Services 0627010 Offender Services
0627020 Capacity Development,707182888,1023 State Department for Correctional Services,2021,1023 State Department for Correctional Services 0627020 Capacity Development
0627000 Prison Services,27222320000,1023 State Department for Correctional Services,2021,1023 State Department for Correctional Services 0627000 Prison Services
0628010 Probation Services,1874210042,1023 State Department for Correctional Services,2021,1023 State Department for Correctional Services 0628010 Probation Services
0628020 After Care Services,198342974,1023 State Department for Correctional Services,2021,1023 State Department for Correctional Services 0628020 After Care Services
0628000 Probation & After Care Services,2072553016,1023 State Department for Correctional Services,2021,1023 State Department for Correctional Services 0628000 Probation & After Care Services
0712010 Management of devolution affairs,726911168,1032 State Department for Devolution,2021,1032 State Department for Devolution 0712010 Management of devolution affairs
0712020 Intergovernmental Relations,709363811,1032 State Department for Devolution,2021,1032 State Department for Devolution 0712020 Intergovernmental Relations
0712030 Capacity building and Civic Education,1251653069,1032 State Department for Devolution,2021,1032 State Department for Devolution 0712030 Capacity building and Civic Education
0712050 Finance Management Services,,1032 State Department for Devolution,2021,1032 State Department for Devolution 0712050 Finance Management Services
0712000 Devolution Services,2687928048,1032 State Department for Devolution,2021,1032 State Department for Devolution 0712000 Devolution Services
0732010 Human Resource and Support Services,398082378,1032 State Department for Devolution,2021,1032 State Department for Devolution 0732010 Human Resource and Support Services
0732020 Finance Management Services,17834619,1032 State Department for Devolution,2021,1032 State Department for Devolution 0732020 Finance Management Services
0732030 Information Communication and Technology,1490481,1032 State Department for Devolution,2021,1032 State Department for Devolution 0732030 Information Communication and Technology
"0732000 General Administration, Planning and Support Services",417407478,1032 State Department for Devolution,2021,"1032 State Department for Devolution 0732000 General Administration, Planning and Support Services"
0713010 Relief & Rehabilitation,138215594,1032 State Department for Devolution,2021,1032 State Department for Devolution 0713010 Relief & Rehabilitation
0713000 Special Initiatives,138215594,1032 State Department for Devolution,2021,1032 State Department for Devolution 0713000 Special Initiatives
0733010 ASAL Development,378537088,1035 State Department for Development of the ASAL,2021,1035 State Department for Development of the ASAL 0733010 ASAL Development
0733020 Drought Management,5848211416,1035 State Department for Development of the ASAL,2021,1035 State Department for Development of the ASAL 0733020 Drought Management
0733030 Administrative Services,194795950,1035 State Department for Development of the ASAL,2021,1035 State Department for Development of the ASAL 0733030 Administrative Services
0733040 Peace and Conflict Management,3719672009,1035 State Department for Development of the ASAL,2021,1035 State Department for Development of the ASAL 0733040 Peace and Conflict Management
0733000 Accelerated ASAL Development,10141216463,1035 State Department for Development of the ASAL,2021,1035 State Department for Development of the ASAL 0733000 Accelerated ASAL Development
0801010 National Defense,116866498176,1041 Ministry of Defence,2021,1041 Ministry of Defence 0801010 National Defense
0801000 Defence,116866498176,1041 Ministry of Defence,2021,1041 Ministry of Defence 0801000 Defence
0802010 Civil Aid,7e+08,1041 Ministry of Defence,2021,1041 Ministry of Defence 0802010 Civil Aid
0802000 Civil Aid,7e+08,1041 Ministry of Defence,2021,1041 Ministry of Defence 0802000 Civil Aid
0803010 Administrative and support services,1875677001,1041 Ministry of Defence,2021,1041 Ministry of Defence 0803010 Administrative and support services
0803020 Defence Policy and Planning,42780810,1041 Ministry of Defence,2021,1041 Ministry of Defence 0803020 Defence Policy and Planning
0803030 Defence Cooperation and Diplomacy,3e+07,1041 Ministry of Defence,2021,1041 Ministry of Defence 0803030 Defence Cooperation and Diplomacy
0803040 Defence Financial Management and Oversight,36750000,1041 Ministry of Defence,2021,1041 Ministry of Defence 0803040 Defence Financial Management and Oversight
"0803000 General Administration, Planning and Support Services",1985207811,1041 Ministry of Defence,2021,"1041 Ministry of Defence 0803000 General Administration, Planning and Support Services"
0805010 National Space Management,2e+08,1041 Ministry of Defence,2021,1041 Ministry of Defence 0805010 National Space Management
0805000 National Space Management,2e+08,1041 Ministry of Defence,2021,1041 Ministry of Defence 0805000 National Space Management
0714010 Administration services,2232826438,1052 Ministry of Foreign Affairs,2021,1052 Ministry of Foreign Affairs 0714010 Administration services
0714000 General Administration Planning and Support Services,2232826438,1052 Ministry of Foreign Affairs,2021,1052 Ministry of Foreign Affairs 0714000 General Administration Planning and Support Services
0715010 Management of Kenya missions abroad,13795199817,1052 Ministry of Foreign Affairs,2021,1052 Ministry of Foreign Affairs 0715010 Management of Kenya missions abroad
0715020 Infrastructure Development for Missions,1499640000,1052 Ministry of Foreign Affairs,2021,1052 Ministry of Foreign Affairs 0715020 Infrastructure Development for Missions
"0715030 Management of International Treaties, Agreements and Conventions",22810049,1052 Ministry of Foreign Affairs,2021,"1052 Ministry of Foreign Affairs 0715030 Management of International Treaties, Agreements and Conventions"
0715040 Coordination of State Protocol,771622073,1052 Ministry of Foreign Affairs,2021,1052 Ministry of Foreign Affairs 0715040 Coordination of State Protocol
0715050 Management of Diaspora and Consular Affairs,14476474,1052 Ministry of Foreign Affairs,2021,1052 Ministry of Foreign Affairs 0715050 Management of Diaspora and Consular Affairs
0715060 International Relations and Cooperation,171183767,1052 Ministry of Foreign Affairs,2021,1052 Ministry of Foreign Affairs 0715060 International Relations and Cooperation
0715000 Foreign Relation and Diplomacy,16274932180,1052 Ministry of Foreign Affairs,2021,1052 Ministry of Foreign Affairs 0715000 Foreign Relation and Diplomacy
0741010 Economic and Commercial Cooperation,51823239,1052 Ministry of Foreign Affairs,2021,1052 Ministry of Foreign Affairs 0741010 Economic and Commercial Cooperation
0741000 Economic and Commercial Diplomacy,51823239,1052 Ministry of Foreign Affairs,2021,1052 Ministry of Foreign Affairs 0741000 Economic and Commercial Diplomacy
0742010 Foreign Policy Research and Analysis,140415321,1052 Ministry of Foreign Affairs,2021,1052 Ministry of Foreign Affairs 0742010 Foreign Policy Research and Analysis
0742020 Regional Technical Cooperation,1.2e+08,1052 Ministry of Foreign Affairs,2021,1052 Ministry of Foreign Affairs 0742020 Regional Technical Cooperation
"0742000 Foreign Policy Research, Capacity Dev and Technical Cooperation",260415321,1052 Ministry of Foreign Affairs,2021,"1052 Ministry of Foreign Affairs 0742000 Foreign Policy Research, Capacity Dev and Technical Cooperation"
0505010 Technical Accreditation and Quality Assurance,851500000,1064 State Department for Vocational and Technical Training,2021,1064 State Department for Vocational and Technical Training 0505010 Technical Accreditation and Quality Assurance
0505020 Technical Trainers and Instructor Services,17454285216,1064 State Department for Vocational and Technical Training,2021,1064 State Department for Vocational and Technical Training 0505020 Technical Trainers and Instructor Services
0505030 Special Needs in Technical and Vocational Education,160451052,1064 State Department for Vocational and Technical Training,2021,1064 State Department for Vocational and Technical Training 0505030 Special Needs in Technical and Vocational Education
